,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S01000035,1034,10,12,9,11,13,14,8,9,11,8,10,4,9,10,9,11,10,14,13,27,32,15,26,28,31,27,22,10,20,20,16,13,18,18,17,12,4,10,10,15,10,5,6,16,13,19,12,18,12,7,19,6,9,13,6,9,14,9,12,11,7,9,11,10,5,9,9,5,13,6,17,12,9,17,12,7,6,9,6,8,4,4,4,2,3,3,5,5,0,1,3,0,1,0,0,0,0,0,0,0,0
S01000036,683,7,9,7,12,8,15,7,3,9,4,7,6,7,10,5,8,10,12,7,8,5,14,9,19,20,10,11,9,6,8,8,5,7,10,8,6,10,3,17,7,7,8,10,15,6,7,9,9,15,5,12,9,7,9,5,8,6,11,9,15,5,7,9,8,4,7,3,5,2,8,3,5,6,8,5,5,6,3,7,4,6,5,4,4,5,3,1,0,4,1,3,1,1,0,0,0,0,0,0,0,0
S01000037,765,7,5,10,5,11,3,3,4,0,4,7,7,7,7,9,6,9,6,6,11,4,16,10,14,8,10,11,16,15,14,12,14,12,4,10,7,8,3,9,14,10,9,12,16,14,19,9,18,11,12,10,9,13,9,13,12,12,10,2,16,5,3,8,8,10,13,3,5,8,7,7,9,6,7,6,9,5,7,5,8,7,0,4,7,2,3,3,8,2,2,1,5,1,1,2,0,1,0,1,1,1
S01000038,678,9,6,1,10,4,6,5,3,4,5,4,5,7,6,9,7,16,13,13,9,9,7,10,4,8,10,8,4,10,4,9,4,7,7,6,7,5,4,13,5,11,13,12,10,6,13,14,9,8,12,10,18,9,15,12,13,11,10,7,8,8,9,5,7,18,7,9,10,6,6,7,6,12,9,6,3,3,9,5,2,6,1,6,2,1,4,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0
S01000039,902,8,15,6,13,10,8,4,5,4,7,5,5,6,7,3,12,17,9,6,30,30,31,20,21,21,21,20,19,10,16,13,14,6,12,8,16,10,14,6,9,6,7,6,13,6,8,9,7,16,16,13,11,8,15,12,12,14,4,7,11,2,7,10,7,6,8,6,8,7,7,5,8,7,4,4,2,11,8,9,8,8,7,3,5,4,5,6,4,6,8,7,3,1,0,2,1,0,0,0,0,0
S01000040,934,10,11,7,10,14,10,7,10,12,11,8,11,7,12,12,13,8,10,17,15,14,8,15,9,14,8,8,10,10,9,13,16,9,7,8,7,7,11,9,14,15,21,10,14,12,23,28,17,20,16,13,17,18,11,14,10,15,8,10,10,5,12,8,7,10,6,5,10,8,9,10,12,9,16,10,6,9,10,5,4,6,4,4,9,3,4,1,2,2,2,0,0,0,0,1,2,0,0,0,0,0
S01000041,831,8,13,7,3,5,10,1,10,8,3,5,6,5,7,4,4,6,10,4,10,5,13,8,10,9,9,7,13,8,6,10,9,6,6,9,13,9,9,5,9,15,13,5,16,15,19,20,9,10,8,6,9,12,12,18,13,8,16,15,4,9,12,17,16,10,11,11,12,12,10,7,8,12,15,10,9,10,13,9,7,5,4,11,9,9,8,8,1,2,3,1,0,1,1,0,0,1,1,0,0,1
S01000042,755,7,4,6,4,3,0,4,7,5,7,5,6,7,4,10,5,9,4,10,16,23,17,13,18,25,19,6,11,8,15,9,11,9,11,6,10,10,9,10,11,6,6,7,9,9,5,10,11,12,10,16,11,18,17,5,22,5,8,8,13,9,12,10,10,15,5,8,4,9,6,10,6,6,7,3,3,4,2,10,2,2,5,6,5,2,2,4,2,0,0,1,1,0,0,0,2,0,0,0,0,0
S01000043,896,8,13,8,6,9,6,7,1,5,8,4,5,6,7,9,4,7,12,10,15,27,26,9,19,19,30,26,23,27,26,11,21,15,13,11,9,14,10,16,11,7,12,12,8,6,7,12,10,18,5,16,7,7,12,6,7,12,5,8,6,15,9,9,8,2,6,10,3,7,8,2,9,6,9,3,6,1,7,8,7,11,7,10,4,2,4,6,3,1,1,7,3,3,0,1,0,2,0,0,0,0
S01000044,959,8,12,11,7,6,9,5,10,6,8,6,14,11,6,12,17,16,17,10,17,31,23,29,22,25,16,17,16,16,15,16,8,16,16,9,10,17,12,5,18,10,8,13,14,15,9,10,12,6,6,18,11,6,14,8,9,10,4,7,12,14,6,11,11,11,7,7,3,8,6,3,6,9,11,6,8,9,4,11,7,8,6,7,6,10,1,3,2,2,5,2,1,1,0,0,0,0,0,0,0,0
