msoaiz,Total weekly income (£)
E02002388,590
E02002389,470
E02002390,600
E02002391,690
E02002392,480
E02002393,400
E02002394,430
E02002395,760
E02002396,630
E02002397,630
E02002398,710
E02002399,540
E02002400,450
E02002401,490
E02002402,930
E02002403,660
E02002404,510
E02002405,680
E02002406,870
E02002407,450
E02002408,660
E02002409,590
E02002410,600
E02002411,530
E02002412,700
E02002414,410
E02002415,430
E02002416,650
E02002417,700
E02002418,720
E02002419,480
E02002420,610
E02002421,430
E02002422,780
E02002423,530
E02002424,750
E02002425,750
E02002426,810
E02002427,660
E02002428,610
E02002429,760
E02002430,470
E02002431,690
E02002432,700
E02002433,560
E02002434,750
E02002435,760
E02002436,650
E02002437,930
E02006852,990
E02006861,620
E02006875,970
E02006876,580
E02002438,540
E02002439,500
E02002440,630
E02002441,520
E02002442,680
E02002443,830
E02002444,700
E02002445,620
E02002446,710
E02002447,490
E02002448,500
E02002449,700
E02002450,690
E02002451,740
E02002452,540
E02002453,530
E02002454,550
E02002455,510
E02002456,670
E02002457,540
E02002458,680
E02002459,630
E02002460,750
E02002461,650
E02002462,660
E02002463,520
E02002464,540
E02002465,640
E02002466,650
E02002467,560
E02002468,750
E02002469,750
E02002470,1070
E02002471,840
E02002472,760
E02002473,780
E02002474,590
E02002475,960
E02002476,560
E02002477,590
E02002478,680
E02002479,630
E02002480,570
E02002481,590
E02002482,610
E02002796,850
E02002797,720
E02002798,850
E02002799,540
E02002800,770
E02002801,580
E02002802,490
E02002803,530
E02002804,520
E02002805,690
E02002806,550
E02002807,580
E02002808,470
E02002809,590
E02002810,770
E02002811,460
E02002812,700
E02002813,420
E02002814,720
E02002815,530
E02002816,930
E02002817,710
E02002818,500
E02002819,570
E02002820,540
E02002821,480
E02002822,610
E02002823,560
