URN,EstablishmentName,SchoolCapacity,Postcode,Easting,Northing,,,,,,,,,,,,,,,
143773,Rivington and Blackrod High School,1888,BL6 7RU,363763,412782,,,,,,,,,,,,,,,
140091,Hollingworth Academy,1350,OL16 3DR,393309,412474,,,,,,,,,,,,,,,
146906,Honley High School,1323,HD9 6QJ,414422,412392,,,,,,,,,,,,,,,
142232,Sharples School,1080,BL1 8SN,372028,412381,,,,,,,,,,,,,,,
137004,Outwood Academy Foxhills,750,DN15 8LJ,488354,412373,,,,,,,,,,,,,,,
137759,The Axholme Academy,540,DN17 4HU,477608,412062,,,,,,,,,,,,,,,
137011,"Minsthorpe Community College, A Specialist Science College",1755,WF9 2UJ,447006,411951,,,,,,,,,,,,,,,
144044,Canon Slade CofE School,1688,BL2 3BP,373025,411807,,,,,,,,,,,,,,,
147369,Matthew Moss High School,1200,OL11 3LU,387571,411702,,,,,,,,,,,,,,,
140500,Smithills School,1250,BL1 6JS,369980,411459,,,,,,,,,,,,,,,
143812,Standish Community High School,1250,WN6 0NX,355485,410681,,,,,,,,,,,,,,,
137352,Shelley College,1319,HD8 8NL,422249,410653,,,,,,,,,,,,,,,
143792,Scissett Middle School,589,HD8 9JX,424696,410563,,,,,,,,,,,,,,,
136277,Healing Science Academy,1020,DN41 7QD,521615,410290,,,,,,,,,,,,,,,
137464,John Whitgift Academy,797,DN37 9EH,523693,409928,,,,,,,,,,,,,,,
137294,The Crompton House Church of England Academy,1415,OL2 7HS,392960,409441,,,,,,,,,,,,,,,
138018,St Bede's Catholic Voluntary Academy,700,DN16 2TF,489816,408883,,,,,,,,,,,,,,,
137196,Ormiston Maritime Academy,950,DN34 5AH,525932,408246,,,,,,,,,,,,,,,
137453,The Vale Academy,806,DN20 8AR,499953,408008,,,,,,,,,,,,,,,
142340,Bolton Muslim Girls School,600,BL3 6TQ,370893,407819,,,,,,,,,,,,,,,
137436,Formby High School,989,L37 3HW,329355,407670,,,,,,,,,,,,,,,
142296,Little Lever School,1050,BL3 1BT,374670,407318,,,,,,,,,,,,,,,
141248,North Chadderton School,1512,OL9 0BN,390047,406541,,,,,,,,,,,,,,,
137899,Hungerhill School,1120,DN3 2JY,461444,406473,,,,,,,,,,,,,,,
146455,Horizon Community College,2000,S70 6PD,432931,406137,,,,,,,,,,,,,,,
